NORDEST,NORDEMP,ANIO
140258,141272,2022
140258,141272,2023
140258,975993,2024
140357,141327,2022
140357,141327,2023
140357,143527,2024
140415,978380,2019
140415,978380,2020
140415,978380,2021
140415,978380,2022
140415,978380,2023
140415,141028,2024
140551,982551,2017
140551,975882,2018
140551,975882,2019
140551,975882,2020
140551,975882,2021
140551,975882,2022
140551,975882,2023
140551,975882,2024
140606,141494,2017
140606,141494,2018
140606,141494,2019
140606,141494,2020
140606,141494,2021
140606,145941,2022
140606,145941,2023
140606,145941,2024
140636,141495,2017
140636,141495,2018
140636,141495,2019
140636,141495,2020
140636,141495,2021
140636,141495,2022
140636,986840,2023
140636,986840,2024
140673,366748,2016
140673,366748,2017
140673,366748,2018
140673,366748,2019
140673,366748,2020
140673,141267,2021
140673,141267,2022
140673,141267,2023
140674,979663,2016
140674,979663,2017
140674,979663,2018
140674,979663,2019
140674,979663,2020
140674,141266,2022
140674,141266,2023
140674,141266,2024
140820,141626,2016
140820,141626,2017
140820,141626,2018
140820,141626,2019
140820,141626,2020
140820,141626,2021
140820,141239,2022
140820,141239,2023
140820,141239,2024
140996,983906,2014
140996,983906,2015
140996,141465,2017
140996,141465,2018
140996,141465,2019
140996,141465,2020
141004,983906,2014
141004,983906,2015
141004,983906,2016
141004,141465,2017
141004,141465,2018
141004,141465,2019
141010,983906,2014
141010,983906,2015
141010,983906,2016
141010,141465,2017
141010,141465,2018
141010,141465,2019
141012,983906,2014
141012,983906,2015
141012,983906,2016
141012,141465,2017
141012,141465,2018
141012,141465,2019
141012,141465,2020
141012,141465,2021
141012,141465,2022
141012,141465,2023
141012,141465,2024
141032,983906,2014
141032,983906,2015
141032,983906,2016
141032,141465,2017
141032,141465,2018
141032,141465,2019
141032,141465,2020
141099,980665,2015
141099,980665,2016
141099,980665,2017
141099,980665,2018
141099,980665,2019
141099,980665,2020
141099,980665,2021
141099,980665,2022
141099,141163,2023
141099,141163,2024
141613,142340,2014
141613,142340,2015
141613,142340,2016
141613,141448,2017
141613,141448,2018
141613,141448,2019
141613,141448,2020
141613,141448,2021
141613,141448,2022
141613,141448,2023
141613,141448,2024
141620,146007,2014
141620,146007,2015
141620,146007,2016
141620,146007,2017
141620,146007,2018
141620,146007,2019
141620,146007,2020
141620,141271,2021
141620,141271,2022
141620,141271,2023
141620,141271,2024
