DPTO,total_establecimientos_anio,n_sectores_distintos,sector_top1,pct_top1_sector,pct_top2_sectores,HHI
85,107,4,1051,50.47,72.9,0.3544
99,105,4,3290,44.76,67.62,0.3058
52,277,9,3290,35.02,53.43000000000001,0.2105
70,117,5,1089,34.19,66.66999999999999,0.2631
47,301,13,3290,26.91,43.519999999999996,0.1464
20,190,10,3290,26.84,45.260000000000005,0.1589
23,153,8,3290,26.8,51.64,0.187
63,322,14,3290,26.4,40.69,0.133
41,355,15,3290,24.51,36.900000000000006,0.1172
15,454,20,3290,24.23,35.24,0.109
13,795,32,3290,22.01,28.93,0.0772
66,1039,40,1410,21.46,34.260000000000005,0.0852
50,355,13,1051,21.13,42.26,0.1415
19,528,27,3290,19.13,29.93,0.074
5,10319,101,1410,18.73,25.05,0.0528
73,626,22,3290,18.37,36.1,0.1048
54,707,27,1522,14.71,26.310000000000002,0.0697
17,839,31,3290,11.2,20.14,0.0509
76,6175,91,1081,9.94,16.22,0.0314
11,16195,116,1410,9.23,16.02,0.033
8,1979,66,3290,9.15,15.47,0.033
68,2119,58,1410,8.31,16.19,0.0385
25,3894,79,2229,6.37,11.3,0.026
